Feature_Index	Original_Index	Monoisotopic_Mass	Average_Mono_Mass	UMC_MW_Min	UMC_MW_Max	Scan_Start	Scan_End	Scan	IMS_Scan	IMS_Scan_Start	IMS_Scan_End	Avg_Interference_Score	Decon2ls_Fit_Score	UMC_Member_Count	Saturated_Member_Count	Max_Abundance	Abundance	Class_Rep_MZ	Class_Rep_Charge	Charge_Max	Drift_Time	Conformation_Fit_Score	LC_Fit_Score	Average_Isotopic_Fit	Members_Percentage	Combined_Score
0	755	368.21478	368.21478	368.21336	368.21773	84	85	84	121	118	125	0	0.014433	15	0	55512	285034	369.22064	1	1	19.729	0.74167	0	1.0144	1	0.9187
1	753	368.21562	368.21562	368.21541	368.21588	1	1	1	120	119	122	0	0.00455	4	0	23531	63993	369.22232	1	1	19.593	0.96731	0	1.0045	1	0.99062
2	752	370.22986	370.22986	370.2287	370.23061	38	38	38	121	120	124	0	0.01844	5	0	74819	245808	371.23789	1	1	19.837	0.95101	0	1.0184	1	0.98982
3	751	372.19892	372.19892	372.19506	372.2021	56	59	59	120	118	123	0	0.016281	21	0	26697	94893	373.20682	1	1	19.613	0.9254	0	1.0163	1	0.98056
4	750	372.21179	372.21179	372.20669	372.21624	1	4	1	120	118	122	0	0.0080273	22	0	86037	295526	373.21957	1	1	19.5	0.9314	0	1.008	1	0.97981
5	749	372.2712	372.2712	372.26588	372.27691	73	84	77	127	124	129	0	0.018246	56	0	169097	692592	373.28369	1	1	20.459	0.79142	0	1.0182	1	0.93655
6	747	379.2003	379.2003	379.19818	379.20249	18	18	18	106	102	106	0	0.07486	5	0	4222	13079	380.2077	1	1	16.873	0.96358	0	1.0749	1	1.0128
7	746	379.20919	379.20919	379.20838	379.21067	15	17	17	104	102	105	0	0.05725	6	0	5076	16193	380.21587	1	1	16.892	0.89454	0	1.0573	1	0.98393
8	744	386.25948	386.25948	386.2585	386.26013	42	44	42	129	127	132	0	0.031225	8	0	107264	362917	387.26714	1	1	20.976	0.94629	0	1.0312	1	0.99251
9	745	386.26281	386.26281	386.26029	386.26646	59	63	60	129	127	133	0	0.032843	21	0	132605	512019	387.26921	1	1	21.037	0.90696	0	1.0328	1	0.97993
10	743	387.24509	387.24509	387.24255	387.24677	22	23	23	128	128	129	0	0.01454	5	0	24285	39317	388.24928	1	1	20.944	0.8059	0	1.0145	1	0.94015
11	741	391.68933	391.68933	391.68843	391.69243	97	99	97	103	103	103	0	0.06814	5	0	15964	42225	392.69916	1	1	17.088	0.94049	0	1.0681	1	1.0029
12	740	392.24013	392.24013	392.23746	392.24182	15	18	16	125	123	128	0	0.016047	19	0	64939	261322	393.24869	1	1	20.35	0.85821	0	1.016	1	0.95809
13	736	401.20643	401.20643	401.20205	401.2089	1	1	1	129	123	129	0.090452	0.041025	4	0	78490	318423	402.20932	1	1	20.783	0.86924	0	1.041	1	0.97009
14	735	401.23389	401.23389	401.23247	401.23689	14	14	14	127	126	131	0	0.021133	6	0	65434	244216	402.24008	1	1	20.874	0.90756	0	1.0211	1	0.97623
15	734	401.2629	401.2629	401.26189	401.26469	1	4	1	130	129	132	0.1301	0.033508	12	0	140014	441521	402.20849	1	1	21.396	0.965	0	1.0335	1	0.9995
16	731	403.21546	403.21546	403.21252	403.2209	13	16	14	125	122	128	0.0074781	0.025446	26	0	90867	364053	404.2202	1	1	20.416	0.87851	0	1.0254	1	0.96798
17	726	405.22734	405.22734	405.21263	405.23615	50	58	54	107	107	107	0	0.0821	16	0	4936	19140	406.23807	1	1	17.166	0.86571	0	1.0821	1	0.9826
18	725	406.26202	406.26202	406.26169	406.26234	68	68	68	130	126	130	0	0.02762	5	0	40448	110668	407.2687	1	1	21.089	0.91681	0	1.0276	1	0.98148
19	723	408.20461	408.20461	408.20209	408.20982	95	98	98	103	103	104	0	0.0631	4	0	5832	11978	409.21005	1	1	16.817	0.90011	0	1.0631	1	0.98774
20	718	415.20822	415.20822	415.20575	415.21117	83	87	83	107	107	108	0	0.061825	4	0	5933	30826	416.21365	1	1	16.622	0.78633	0	1.0618	1	0.94939
21	713	419.15255	419.15255	419.1491	419.15381	74	80	76	124	124	126	0	0.012075	12	0	39750	64382	420.15978	1	1	20.305	0.92599	0	1.0121	0.8	0.91269
22	713	419.15268	419.15268	419.149	419.15471	76	80	76	123	119	123	0	0.012827	15	0	45943	135647	420.16069	1	1	19.911	0.97377	0	1.0128	1	0.99553
23	712	424.25132	424.25132	424.24949	424.25324	47	50	50	131	128	134	0	0.039079	14	0	29630	92632	425.25941	1	1	21.224	0.94052	0	1.0391	1	0.9932
24	710	432.20698	432.20698	432.20644	432.20767	18	18	18	130	127	130	0	0.0063	4	0	20288	48103	433.2144	1	1	21.073	0.96498	0	1.0063	1	0.99043
25	709	433.1732	433.1732	433.17145	433.17883	86	89	88	111	111	112	0	0.07438	5	0	5816	12976	434.17826	1	1	17.737	0.94149	0	1.0744	1	1.0053
26	708	433.24711	433.24711	433.24148	433.25217	21	22	21	107	104	109	0	0.093512	8	0	6815	26870	434.25476	1	1	17.288	0.86767	0	1.0935	1	0.98706
27	705	433.27725	433.27725	433.27334	433.28222	88	91	89	133	130	137	0	0.095589	18	0	6848	26657	434.28139	1	1	21.661	0.87038	0	1.0956	1	0.98866
28	699	434.2582	434.2582	434.25559	434.26154	28	34	30	135	134	136	0.0035116	0.011205	19	0	116456	286905	435.26321	1	1	21.963	0.98334	0	1.0112	1	0.99818
29	700	434.26185	434.26185	434.25582	434.26825	87	97	91	135	132	135	0.0033056	0.016956	41	18	987669	3.327E+06	435.26709	1	1	21.823	0.89838	0	1.017	1	0.97178
30	700	434.26202	434.26202	434.25582	434.27128	87	97	91	136	136	138	0.0037471	0.019303	31	12	890510	2.1463E+06	435.26665	1	1	22.237	0.96558	0	1.0193	0.7561	0.91366
31	697	434.73312	434.73312	434.72881	434.73517	65	68	65	112	112	112	0	0.11432	4	0	3445	12559	435.73553	1	1	17.684	0.8892	0	1.1143	1	1.0012
32	688	445.2595	445.2595	445.25907	445.26005	26	26	26	135	134	138	0	0.04778	5	0	13782	50636	446.26611	1	1	22.014	0.87691	0	1.0478	1	0.9749
33	689	445.26265	445.26265	445.26106	445.26382	96	98	98	137	134	141	0	0.023777	13	0	38480	173315	446.27028	1	1	22.35	0.82238	0	1.0238	1	0.94872
34	686	450.21847	450.21847	450.21301	450.22265	15	23	18	134	131	134	0	0.021447	45	2	513664	2.385E+06	451.22698	1	1	21.843	0.78699	0	1.0214	1	0.93614
35	685	450.25596	450.25596	450.25481	450.25658	72	74	72	137	136	140	0	0.024918	11	0	48481	182119	451.26318	1	1	22.244	0.89502	0	1.0249	1	0.97331
36	683	457.28844	457.28844	457.285	457.29145	1	5	2	139	137	143	0.005579	0.0235	31	0	96513	367062	458.29273	1	1	22.825	0.8963	0	1.0235	1	0.97327
37	684	457.30004	457.30004	457.29454	457.31141	56	61	59	140	140	140	0	0.029942	24	0	311459	1.1872E+06	458.31869	1	1	22.782	0.90331	0	1.0299	1	0.97775
38	681	459.23527	459.23527	459.23488	459.23565	19	19	19	108	107	110	0	0.1132	4	0	2993	7539	460.24238	1	1	17.647	0.86908	0	1.1132	1	0.99409
39	680	459.2775	459.2775	459.27507	459.27916	11	14	12	139	134	142	0	0.020295	22	0	37732	161306	460.28422	1	1	22.459	0.86112	0	1.0203	1	0.96047
40	678	461.23651	461.23651	461.23405	461.23868	29	32	30	134	131	137	0	0.018477	22	0	57893	224196	462.24197	1	1	21.743	0.88954	0	1.0185	1	0.96934
41	675	462.26051	462.26051	462.2593	462.26351	87	97	97	115	115	117	0	0.09675	4	0	7677	37768	463.26603	1	1	18.718	0.82589	0	1.0968	1	0.97421
42	674	463.24057	463.24057	463.23758	463.24245	96	99	99	139	136	142	0	0.020996	27	0	23273	96065	464.24719	1	1	22.637	0.86816	0	1.021	1	0.96305
43	672	465.21584	465.21584	465.21019	465.22162	49	52	51	108	106	112	0	0.09735	10	0	5272	26315	466.22551	1	1	17.773	0.76514	0	1.0974	1	0.95416
44	673	465.22246	465.22246	465.21773	465.23102	94	95	95	133	131	137	0	0.030037	8	0	35472	130999	466.22841	1	1	21.908	0.78755	0	1.03	1	0.9392
45	670	467.28221	467.28221	467.27892	467.28436	83	84	84	138	135	141	0	0.027023	13	0	40060	175560	468.29023	1	1	22.301	0.83966	0	1.027	1	0.95556
46	668	468.24796	468.24796	468.24551	468.25506	67	76	73	110	108	110	0	0.091844	9	0	10404	47956	469.25317	1	1	18.036	0.61523	0	1.0918	1	0.90236
47	665	469.2507	469.2507	469.24582	469.25471	54	64	59	135	132	138	0.0034976	0.019587	75	0	352526	1.5065E+06	470.25773	1	1	21.901	0.83129	0	1.0196	1	0.95029
48	667	469.25289	469.25289	469.24831	469.25774	91	97	95	135	135	138	0	0.028377	13	0	15563	61007	470.26447	1	1	22.018	0.8169	0	1.0284	1	0.94842
49	663	469.32039	469.32039	469.31912	469.3236	3	7	4	144	141	146	0	0.025089	18	0	12281	55367	470.32667	1	1	23.751	0.80888	0	1.0251	1	0.94466
50	664	469.32226	469.32226	469.31907	469.3263	52	56	53	143	141	146	0.0053278	0.018648	23	0	29988	130904	470.33108	1	1	23.376	0.82341	0	1.0186	1	0.94735
51	661	471.27528	471.27528	471.26148	471.28417	26	37	32	139	136	143	0.010468	0.025337	64	0	112282	468243	472.28197	1	1	22.643	0.86243	0	1.0253	1	0.96259
52	660	471.27913	471.27913	471.27112	471.28565	1	4	1	139	136	142	0.014308	0.027261	28	0	149085	596211	472.28814	1	1	22.635	0.88003	0	1.0273	1	0.9691
