frame_num,frame_time,type,bpi,bpi_mz,tic,num_peaks,num_deisotoped,FramePressureUnsmoothed,FramePressureSmoothed
1,481.641,1,641703,467.75557,64835104,5979,1746,3.99753,4.01004
2,481.695,1,624266,467.75613,65085012,6149,1751,3.98818,4.01004
3,481.748,1,587440,467.71618,64385584,6208,1762,3.9695,4.01004
4,481.801,1,628564,605.76716,64823480,6364,1778,4.01388,4.01004
5,481.854,1,678104,605.77112,66960980,6203,1824,4.0092,4.01004
6,481.908,1,678040,605.81693,70117584,6289,1808,3.98234,4.01004
7,481.961,1,665735,636.83081,71729416,6070,1831,4.0022,4.01004
8,482.014,1,699418,636.83889,72727976,5879,1739,3.99986,4.01004
9,482.067,1,706131,636.83417,72839832,5525,1679,4.02672,4.01004
10,482.12,1,706874,636.8414,75540272,5913,1679,4.01154,4.01004
11,482.173,1,706860,636.85078,77474064,5597,1628,4.02439,4.01004
12,482.227,1,698886,636.83839,78190104,5519,1657,4.01738,4.01004
13,482.28,1,665369,636.8324,72207704,5177,1536,4.02205,4.01004
14,482.333,1,560273,636.83776,74361576,5200,1494,4.00453,4.01004
15,482.386,1,613615,480.28302,69753648,5283,1441,4.01388,4.01004
16,482.439,1,625872,480.28327,69602088,5528,1550,3.98935,4.01004
17,482.492,1,595684,480.28322,70681616,5849,1758,4.01271,4.01004
18,482.546,1,535175,613.27033,74120160,5997,1733,4.01388,4.01004
19,482.599,1,645185,613.27699,77055632,5938,1720,4.00103,4.01004
20,482.652,1,676279,613.27824,78893920,5528,1621,4.0092,4.01004
21,482.705,1,676562,613.27693,78866976,5387,1603,4.00453,4.01004
22,482.759,1,639444,613.27471,77550608,5355,1515,3.99869,4.01004
23,482.812,1,585117,589.35647,78746912,5330,1569,4.01621,4.01004
24,482.865,1,619501,589.35735,78353184,5865,1688,4.0092,4.01004
25,482.918,1,609034,589.35808,77927504,5961,1759,4.01621,4.01004
26,482.972,1,576228,589.35678,75927496,6277,1826,4.01621,4.01004
27,483.025,1,548209,583.79768,76272048,6561,1903,4.02088,4.01004
28,483.078,1,495385,583.7967,74466800,6876,1985,4.02205,4.01004
29,483.131,1,485955,755.98892,73644864,6954,2015,3.99986,4.01004
30,483.184,1,559763,755.9902,74739704,6826,1951,4.02672,4.01004
31,483.238,1,596593,755.98085,74491480,6335,1812,4.02556,4.01004
32,483.291,1,621046,755.99155,74179216,5496,1586,4.01388,4.01004
33,483.344,1,641612,755.99127,73547776,5401,1547,4.01504,4.01004
34,483.397,1,648626,755.99005,71909464,5176,1456,4.03256,4.01004
35,483.45,1,652190,755.99154,68059056,5573,1595,4.00804,4.01004
36,483.503,1,647976,755.99022,66206880,6108,1696,4.00804,4.01004
37,483.557,1,617155,755.98507,63260224,6145,1758,4.00687,4.01004
